businesses__id,businesses__name,businesses__image_url,businesses__is_closed,businesses__url,businesses__review_count,businesses__categories__alias,businesses__categories__title,businesses__rating,businesses__coordinates__latitude,businesses__coordinates__longitude,businesses__transactions__001,businesses__transactions__002,businesses__transactions__003,businesses__price,businesses__location__address1,businesses__location__address2,businesses__location__address3,businesses__location__city,businesses__location__zip_code,businesses__location__country,businesses__location__state,businesses__location__display_address__001,businesses__location__display_address__002,businesses__location__display_address__003,businesses__phone,businesses__display_phone,businesses__distance,total,region__center__longitude,region__center__latitude
acquista-trattoria-flushing-2,Acquista Trattoria,https://s3-media1.fl.yelpcdn.com/bphoto/CcrdI7oSnfnJ3kiGTGZ_fw/o.jpg,FALSE,https://www.yelp.com/biz/acquista-trattoria-flushing-2?adjust_creative=pY8zJUWQtPjP9LVSrcR4eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pY8zJUWQtPjP9LVSrcR4eg,297,italian,Italian,4,40.7265391,-73.7898816,delivery,pickup,restaurant_reservation,$$,178-01 Union Tpke,,,Flushing,11366,US,NY,178-01 Union Tpke,"Flushing, NY 11366",,17189691411,(718) 969-1411,17385.20923,,,
adelinas-brooklyn,Adelina's,https://s3-media3.fl.yelpcdn.com/bphoto/1In2efKl9Bju09_Z-40EDA/o.jpg,FALSE,https://www.yelp.com/biz/adelinas-brooklyn?adjust_creative=pY8zJUWQtPjP9LVSrcR4eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pY8zJUWQtPjP9LVSrcR4eg,137,italian,Italian,4,40.730495,-73.9533809,delivery,pickup,restaurant_reservation,$$,159 Greenpoint Ave,,,Brooklyn,11222,US,NY,159 Greenpoint Ave,"Brooklyn, NY 11222",,13477630152,(347) 763-0152,4432.540963,,,
anthonys-place-brooklyn,Anthony's Place,https://s3-media4.fl.yelpcdn.com/bphoto/IuPUBzM-UpUgG6YktNLjjw/o.jpg,FALSE,https://www.yelp.com/biz/anthonys-place-brooklyn?adjust_creative=pY8zJUWQtPjP9LVSrcR4eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pY8zJUWQtPjP9LVSrcR4eg,138,italian,Italian,4,40.5928522,-73.9505447,,,,$$,2812 Ocean Ave,null,,Brooklyn,11229,US,NY,2812 Ocean Ave,"Brooklyn, NY 11229",,17187438099,(718) 743-8099,13052.4194,,,
arco-cafe-new-york,Arco Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/WMC-GLfLlBaOWcaJhahQLQ/o.jpg,FALSE,https://www.yelp.com/biz/arco-cafe-new-york?adjust_creative=pY8zJUWQtPjP9LVSrcR4eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pY8zJUWQtPjP9LVSrcR4eg,206,italian,Italian,4.5,40.7988462,-73.967065,delivery,pickup,restaurant_reservation,$$,886 Amsterdam Ave,null,,New York,10025,US,NY,886 Amsterdam Ave,"New York, NY 10025",,12126650033,(212) 665-0033,10619.49719,,,
babbalucci-new-york,Babbalucci,https://s3-media4.fl.yelpcdn.com/bphoto/L4E3RnGmADOUTWM-C5PEIw/o.jpg,FALSE,https://www.yelp.com/biz/babbalucci-new-york?adjust_creative=pY8zJUWQtPjP9LVSrcR4eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pY8zJUWQtPjP9LVSrcR4eg,272,italian,Italian,4,40.80885462,-73.94484267,delivery,pickup,,$$,331 Lenox Ave,,,New York,10027,US,NY,331 Lenox Ave,"New York, NY 10027",,16469186572,(646) 918-6572,12235.44579,,,
bar-b-new-york,Bar B,https://s3-media1.fl.yelpcdn.com/bphoto/1bFERxrNJ752A-umVuw2zg/o.jpg,FALSE,https://www.yelp.com/biz/bar-b-new-york?adjust_creative=pY8zJUWQtPjP9LVSrcR4eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pY8zJUWQtPjP9LVSrcR4eg,137,italian,Italian,4.5,40.7395018,-73.99905566,,,,$$,84 7th Ave,null,,New York,10011,US,NY,84 7th Ave,"New York, NY 10011",,12122291888,(212) 229-1888,3797.939907,,,
barbuto-new-york,Barbuto,https://s3-media1.fl.yelpcdn.com/bphoto/gHMLYccomz_9bZ_3AbV-nw/o.jpg,FALSE,https://www.yelp.com/biz/barbuto-new-york?adjust_creative=pY8zJUWQtPjP9LVSrcR4eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pY8zJUWQtPjP9LVSrcR4eg,806,italian,Italian,4,40.73772032,-74.00800207,restaurant_reservation,,,$$$,775 Washington St,null,,New York,10014,US,NY,775 Washington St,"New York, NY 10014",,12129249700,(212) 924-9700,3770.229762,,,
barosa-rego-park,Barosa,https://s3-media4.fl.yelpcdn.com/bphoto/BHgoa1NyBpyZKIB4FHjX1Q/o.jpg,FALSE,https://www.yelp.com/biz/barosa-rego-park?adjust_creative=pY8zJUWQtPjP9LVSrcR4eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pY8zJUWQtPjP9LVSrcR4eg,272,italian,Italian,3.5,40.72615769,-73.86984505,delivery,,,$$,62-29 Woodhaven Blvd,,,Rego Park,11374,US,NY,62-29 Woodhaven Blvd,"Rego Park, NY 11374",,17184241455,(718) 424-1455,10738.46011,,,
bella-gioia-brooklyn-3,Bella Gioia,https://s3-media1.fl.yelpcdn.com/bphoto/7tmCpKo4yeTfM_D8OgyjDA/o.jpg,FALSE,https://www.yelp.com/biz/bella-gioia-brooklyn-3?adjust_creative=pY8zJUWQtPjP9LVSrcR4eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pY8zJUWQtPjP9LVSrcR4eg,147,italian,Italian,4.5,40.6775302,-73.9827215,pickup,restaurant_reservation,,$$,209 4th Ave,,,Brooklyn,11217,US,NY,209 4th Ave,"Brooklyn, NY 11217",,13472234176,(347) 223-4176,3253.682608,7700,-73.99429321,40.70544486
bistango-new-york-8,Bistango,https://s3-media4.fl.yelpcdn.com/bphoto/Lstq4f1Xxf-t4q3wkpEfBw/o.jpg,FALSE,https://www.yelp.com/biz/bistango-new-york-8?adjust_creative=pY8zJUWQtPjP9LVSrcR4eg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=pY8zJUWQtPjP9LVSrcR4eg,170,italian,Italian,4,40.75628,-73.97144,delivery,pickup,restaurant_reservation,$$,145 E 50th St,,The Kimberly Hotel,New York,10022,US,NY,145 E 50th St,The Kimberly Hotel,"New York, NY 10022",12128884121,(212) 888-4121,5979.261295,,,
