restaurant_cuisine,restaurant_price_range,restaurant_aggregate_rating,restaurant_rating_votes,restaurant_id,restaurant_name,restaurant_latitude,restaurant_longitude,restaurant_address
American,2,4.9,3398,16777384,Shake Shack,40.7408681,-73.9879841,"Madison Square Park, 23rd & Madison, New York 10010"
American,4,4.2,538,16763460,Cookshop,40.74565556,-74.00546389,"156 10th Avenue, New York 10011"
American,2,4.8,1120,16776778,S'MAC,40.73036944,-73.98403889,"197 First Avenue, New York 10003"
American,4,4.3,1120,16761868,Cafeteria,40.74059167,-73.99808611,"119 7th Avenue, New York 10011"
American,2,4.9,948,16785398,Shake Shack,40.75873611,-73.98901389,"691 8th Avenue, New York 10036"
American,4,4.4,1788,16767139,Gramercy Tavern,40.73871667,-73.98838889,42 E 20th Street 10003
American,4,4,256,16767634,Hard Rock Cafe,40.75704,-73.98644,"1501 Broadway, New York 10036"
American,4,4.6,2126,16775039,Peter Luger Steak House,40.70987778,-73.96234167,"178 Broadway, Brooklyn 11211"
American,4,4.8,1064,16782050,Five Napkin Burger,40.76026667,-73.99121111,"630 9th Avenue, New York 10036"
American,2,4.9,1551,16783153,Shake Shack,40.78072222,-73.97649444,"366 Columbus Avenue W 77th Street, New York 10024"
American,4,4.4,983,16760901,Blue Smoke,40.742241,-73.983808,"116 E 27th Street, New York 10016"
American,3,4.3,828,16780641,Virgil's Real BBQ -Times Square,40.75705,-73.98478056,"152 W 44th Street, New York 10036"
American,3,4.5,590,16784825,The Meatball Shop,40.72161389,-73.98880833,"84 Stanton Street, New York 10002"
American,2,4.4,889,16767193,Gray's Papaya,40.77858056,-73.98162778,"2090 Broadway, New York 10023"
American,4,4.2,424,16777125,Sarabeth's,40.76526944,-73.97528889,"40 Central Park S, New York 10019"
American,4,4.3,811,16780256,Union Square Cafe,40.73693333,-73.99134722,"16th Street, New York 10003"
American,4,4.2,299,16785930,Beauty & Essex,40.72051111,-73.98714444,"146 Essex Street, Lower East Side 10002"
American,4,4.2,554,16783442,DBGB Kitchen & Bar,40.72445,-73.99234722,"299 Bowery, New York 10003"
American,3,4.3,637,16778226,Ellen's Stardust Diner,40.76167222,-73.98354444,"1650 Broadway, New York 10019"
American,4,4.2,389,16768762,Jane,40.72733333,-74.00035833,"100 W Houston Street, New York 10012"
Indian,4,4.1,144,16786034,Junoon,40.742798,-73.990139,"27 W 24th Street, New York 10010"
Indian,4,3.8,168,16780333,Utsav,40.757867,-73.982414,"1185 Avenue of the Americas, New York 10036"
Indian,4,3.3,14,18325300,Indian Accent,40.76408,-73.978583,"123 W 56th Street, Midtown West 10019"
Indian,4,3.9,235,16761154,Brick Lane Curry House,40.727292,-73.988307,"99 2nd Avenue, New York 10003"
Indian,2,3.8,204,16769538,The Kati Roll Company,40.75257778,-73.98488611,"49 W 39th Street, New York 10018"
Indian,3,3.1,70,16786550,Saravanaa Bhavan,40.78373611,-73.97792778,"413 Amsterdam Avenue, Between 79th & 80th Street, New York 10024"
Indian,3,3.7,133,16767513,Hampton Chutney Co.,40.7202,-73.99945833,"143 Grand Street, New York 10012"
Indian,3,4.2,255,16782665,Seva,40.76548889,-73.91920556,"30-07 34th Street, Queens 11103"
Indian,4,3.9,211,16760142,Haveli Banjara,40.72727222,-73.98857778,100 2nd Avenue 10003
Indian,4,3.7,158,16761369,Bukhara Grill,40.75461111,-73.97065,"217 E 49th Street, New York 10017"
Indian,4,4,206,16768657,Jackson Diner,40.74766944,-73.89151667,"37-47 74th Street, Queens 11372"
Indian,2,3.9,144,16782723,Tiffin Wallah,40.742851,-73.982574,"127 E 28th Street, New York 10016"
Indian,4,3.7,99,16785111,Tamarind Tribeca,40.71917778,-74.00851389,"99 Hudson Street, New York 10013"
Indian,4,3.7,117,16764077,Dawat,40.760637,-73.966735,"210 E 58th Street, New York 10022"
Indian,4,3.6,118,16763006,Chola,40.760576,-73.966215,"232 E 58th Street, New York 10022"
Indian,3,4.1,220,16768359,Manhattan Valley,40.79702778,-73.96987778,"2636 Broadway, New York 10025"
Indian,4,3.8,149,16759326,Amma,40.75570556,-73.96852222,"246 E 51st Street, New York 10022"
Indian,2,3.6,103,16769539,The Kati Roll Company,40.729675,-74.00085556,"99 MacDougal Street, New York 10012"
Indian,3,3.6,83,16784492,Ruchi Indian Cuisine,40.70968611,-74.01281667,"120 Cedar Street, New York 10006"
Indian,3,3.1,10,16789333,Dosa Delight,40.74914444,-73.89282222,"35-66 73rd Street, Jackson Heights 11372"
Chinese,4,4.8,1530,16761344,Buddakan,40.742232,-74.0055112,"75 9th Avenue, New York 10011"
Chinese,2,4.4,965,16769041,Joe's Shanghai,40.71474722,-73.99767222,"9 Pell Street, New York 10013"
Chinese,4,4.2,1202,16779248,Tao,40.76271111,-73.971375,"42 E 58th Street, New York 10022"
Chinese,2,4.1,183,16787185,Baohaus,40.73256667,-73.98553333,"238 E 14th Street, New York 10003"
Chinese,2,4.3,348,16762904,Chinatown Ice Cream Factory,40.71558056,-73.99806111,"65 Bayard Street, New York 10013"
Chinese,2,4.4,435,16781017,Wo Hop,40.71418333,-73.99881111,"17 Mott Street, New York 10013"
Chinese,3,4,183,16766972,Golden Unicorn,40.71363333,-73.99734444,"18 E Broadway, New York 10002"
Chinese,3,3.8,178,16768965,Jing Fong,40.71605278,-73.99739167,"20 Elizabeth Street, New York 10013"
Chinese,3,3.9,112,16773849,Nom Wah Tea Parlor,40.71448056,-73.99820833,"13 Doyers Street, New York 10013"
Chinese,1,4,204,16764694,Vanessa's Dumpling House,40.71828889,-73.99188889,"118A Eldridge Street, New York 10002"
Chinese,2,4,241,16783261,Great N.Y. Noodletown,40.71521389,-73.99675,"28 Bowery, New York 10013"
Chinese,4,3.9,51,16790456,Tao Downtown,40.74235278,-74.00425833,"92 9th Avenue, New York 10011"
Chinese,3,4,243,16774900,Peking Duck House,40.71455278,-73.99887222,"28 Mott Street, New York 10013"
Chinese,2,4.1,301,16772850,Mooncake Foods,40.723593,-74.004175,"28 Watts Street, New York 10013"
Chinese,3,4,255,16760650,Big Wong,40.71616111,-73.99817778,"67 Mott Street, New York 10013"
Chinese,2,4,138,16777415,Shanghai Caf̩,40.71739167,-73.99739722,"100 Mott Street, New York 10013"
Chinese,3,3.7,155,16763419,Congee Village,40.71883889,-73.99059167,"100 Allen Street, New York 10002"
Chinese,3,4.1,248,16769038,Joe's Shanghai Resturant,40.7618,-73.83028333,"136-21 37th Avenue, Queens 11354"
Chinese,2,4,137,16779349,Tasty Hand-Pulled Noodles,40.71415278,-73.997825,"1 Doyers Street, New York 10013"
Chinese,2,3.6,140,16769039,Joe's Shanghai,40.76295833,-73.97585278,"24 W 56th Street, New York 10019"
Mexican,4,4.4,946,16776567,Rosa Mexicano,40.77137778,-73.98358889,"61 Columbus Avenue, New York 10023"
Mexican,4,4.3,711,16770236,La Esquina,40.7215,-73.997825,"114 Kenmare Street, New York 10012"
Mexican,4,4.1,375,16758591,Toloache 50,40.76218056,-73.98550278,"251 W 50th Street, New York 10019"
Mexican,4,4,308,16776568,Rosa Mexicano,40.73817778,-73.99125556,"9 East 18th Street, New York 10003"
Mexican,4,4,306,16764568,Dos Caminos,40.72669722,-74.00012222,"475 W Broadway, New York 10012"
Mexican,3,3.8,285,16764569,Dos Caminos,40.75588333,-73.97036111,"825 3rd Avenue, New York 10022"
Mexican,4,3.9,363,16776566,Rosa Mexicano,40.75887222,-73.96250278,"1063 1st Avenue, New York 10022"
Mexican,4,4.2,276,16765131,El Centro,40.76601667,-73.98699167,"824 9th Avenue, New York 10019"
Mexican,4,3.9,149,16785284,Dos Caminos,40.740313,-74.005431,"675 Hudson Street, New York 10014"
Mexican,4,3.9,238,16764567,Dos Caminos,40.74255833,-73.98496944,"373 Park Avenue South, New York 10016"
Mexican,4,4.1,221,16776485,Rocking Horse Caf̩,40.74297778,-74.00014444,"182 8th Avenue, New York 10011"
Mexican,4,4.1,245,16784407,Cascabel Taqueria,40.77450833,-73.9542,"1556 2nd Avenue, New York 10028"
Mexican,2,4.5,381,16781992,Chavela's,40.67339722,-73.95707778,"736 Franklin Avenue, Brooklyn 11238"
Mexican,4,3.8,135,16786455,Empell�_n Taqueria,40.73415,-74.00270833,"230 West 4th Street, New York 10014"
Mexican,4,3.8,247,16761708,Caf̩ Frida,40.78099722,-73.97641111,"368 Columbus Avenue, New York 10024"
Mexican,4,4.2,273,16760228,Barrio Chino,40.718075,-73.98998889,"253 Broome Street, New York 10002"
Mexican,4,4.3,330,16758697,5 Burro Caf̩,40.719369,-73.842305,"7205 Austin Street, Queens 11375"
Mexican,4,3.6,40,16793559,Cosme,40.73943056,-73.98843333,"35 East  21st Street, New York 10010"
Mexican,4,3.8,246,16771959,Maya,40.76301,-73.959483,"1191 1st Avenue, New York 10062"
Mexican,4,4.3,293,16770437,Rachel's Taqueria,40.67025,-73.98552778,"408 5th Avenue, Brooklyn 11215"
Italian,4,4.6,2015,16762160,Carmine's Italian Restaurant - Times Square,40.757498,-73.986654,"200 W 44th Street, New York 10036"
Italian,3,4.9,2153,16771079,Lombardi's Pizza,40.721675,-73.99558889,"32 Spring Street, New York 10012"
Italian,3,4.5,1415,16769089,John's Pizza of Times Square,40.75841111,-73.98826667,"260 W 44th Street, New York 10036"
Italian,3,4.5,1630,16767332,Grimaldi's Pizzeria,40.70251389,-73.99327222,"1 Front Street, Brooklyn 11201"
Italian,4,4.2,1751,16759908,Babbo,40.73260833,-73.99906111,"110 Waverly Place, New York 10011"
Italian,4,4.5,1252,16760367,Becco,40.76066,-73.98943,"355 W 46th Street, Theater District 10036"
Italian,4,4.3,1070,16774318,Otto Enoteca & Pizzeria,40.73201389,-73.99615556,"5th Avenue 8th Street, New York 10003"
Italian,4,4.4,584,16783477,Locanda Verde,40.719768,-74.010058,"377 Greenwich Street, New York 10013"
Italian,3,4.5,590,16784825,The Meatball Shop,40.72161389,-73.98880833,"84 Stanton Street, New York 10002"
Italian,4,4.3,811,16780256,Union Square Cafe,40.73693333,-73.99134722,"16th Street, New York 10003"
Italian,4,4.2,711,16771331,Lupa Osteria Romana,40.72768333,-74.00029722,"170 Thompson Street, New York 10012"
Italian,3,4.6,518,16781877,Roberta's,40.704893,-73.934352,"261 Moore Street, Brooklyn 11206"
Italian,4,4.1,465,16764132,Del Posto,40.74328333,-74.00736944,"85 10th Avenue, New York 10011"
Italian,4,4.7,826,16770070,L & B Spumoni Gardens,40.594492,-73.981231,"2725 86th Street, Brooklyn 11223"
Italian,4,3.7,193,16774112,Olive Garden,40.75861389,-73.984275,"2 Times Square, New York 10036"
Italian,4,4.2,565,16762161,Carmine's,40.79121111,-73.97414444,"2450 Broadway, New York 10024"
Italian,3,4.3,398,16778841,Supper,40.72275833,-73.98528333,"156 E 2nd Street, New York 10009"
Italian,4,4.1,322,16770330,La Mela,40.72011944,-73.99704722,"167 Mulberry Street, New York 10013"
Italian,4,4.2,288,16784509,Maialino At Gramercy Park Hotel,40.73831111,-73.98557222,"2 Lexington Avenue, New York 10010"
Italian,3,4.6,537,16758999,Adrienne's Pizza Bar,40.704525,-74.01036111,"54 Stone Street, New York 10004"
French,4,4.4,721,16774980,Per Se,40.7684141,-73.9827037,"Time Warner Center, 10 Columbus Circle, 4th Floor, New York 10019"
French,4,4,204,16786585,Bagatelle,40.7396,-74.00624167,"1 Little W 12th Street, New York 10014"
French,4,4.1,668,16764005,Daniel,40.76679,-73.96795,"60 E 65th Street, Upper East Side 10065"
French,4,4.2,588,16759669,Artisanal Fromagerie & Bistro,40.742716,-73.983962,"387 Park Avenue S, New York 10010"
French,4,4.2,409,16761075,Bouley,40.71724444,-74.00866667,"163 Duane Street, New York 10013"
French,4,4.2,375,16772623,Minetta Tavern,40.730125,-74.00055,"113 Macdougal Street, New York 10012"
French,4,3.9,317,16781916,Le Cirque,40.76139167,-73.96789444,"151 East 58th Street, New York 10022"
French,4,3.9,275,16770809,Les Halles,40.71001944,-74.00903333,"15 John Street, New York 10038"
French,4,4.4,392,16770147,La Bonne Soupe,40.76273611,-73.97715,"48 W 55th Street, New York 10019"
French,4,3.9,132,16785926,Ai Fiori,40.75018611,-73.98364167,"400 2nd Floor 5th Avenue, New York 10018"
French,4,3.9,257,16781594,Landmarc,40.767891,-73.982161,"Time Warner Center, 10 Columbus Circle, 3rd Floor, New York 10019"
French,4,4,262,16774172,"One If By Land, Two If By Sea",40.732619,-74.002719,"17 Barrow Street, New York 10014"
French,4,4.2,393,16761674,Caf̩ D'Alsace,40.77937778,-73.95056111,"1695 2nd Avenue, New York 10128"
French,4,4.1,285,16781765,Bar Boulud,40.77196944,-73.98213333,"1900 Broadway, New York 10023"
French,3,4,169,16786362,Buvette,40.7326321,-74.0043247,"42 Grove Street, New York 10014"
French,4,3.9,283,16761917,Caf̩ Boulud,40.774315,-73.964038,"20 East 76th Street, New York 10021"
French,4,3.9,186,16779893,Tout Va Bien,40.763208,-73.986043,"311 W 51st Street, New York 10019"
French,4,3.9,197,16770100,L'Express,40.73833056,-73.98786111,"249 Park Avenue South, New York 10003"
French,4,3.9,165,16776071,Raoul's,40.7261357,-74.002139,"180 Prince Street, New York 10012"
French,4,4,267,16770526,Landmarc,40.71822778,-74.00743889,"179 W Broadway, New York 10013"
