,restaurant_id,restaurant_name,restaurant_cuisine,restaurant_review_rating,restaurant_review_text
0,16777384,Shake Shack,American,5.0,✅The place is large and nice 🔝The double shake burger is really good and so tasty. And of course special fries with cheddar cheese sauc...
1,16777384,Shake Shack,American,5.0,Shack stacker plus bacon cheese fries and 50-50. Perfect combo for the hungry. You will always leave here full. The only problem is the seat...
2,16777384,Shake Shack,American,4.5,Local informal e com bom ambiente. Pode deliciar-se com várias opções de hambúrgueres e milkshakes.  As batatas são muito boas també...
3,16777384,Shake Shack,American,5.0,Great burgers. We came here and we froze but it was worth it!   I loved every minute of it. Been to a few burger places in my time. The only...
4,16777384,Shake Shack,American,3.0,We stumbled across the Shake Shack and just loved the look of it with the lights in the trees and the outside tables. Yes we queued but not ...
5,16763460,Cookshop,American,4.0,"Reservation needed, great coffee - friendly and attentive staff. Hue is rancheros slightly too oily but good overall food - around 96 usd fo..."
6,16763460,Cookshop,American,4.5,"Busy Saturday night, yet the service was quick and friendly, and the bathrooms were clean too. Great little choice of share plate dishes, so..."
7,16763460,Cookshop,American,3.5,"I had dinner on a weekend night with 4 friends..food is delicious! BUT, service was slow and had attitude, and the BATHROOM WAS DISGUSTING! ..."
8,16763460,Cookshop,American,3.0,"I went to brunch with a friend and waited over 40 minutes. The food was good, but I really don't think it was worth the wait. I had the huev..."
9,16763460,Cookshop,American,3.5,"Went here for brunch before heading off to the sky walk / high line a few months ago when we were in NYC. Pleasant area, with good food and..."
10,16776778,S'MAC,American,4.5,"I had never tried Mac and Cheese in my entire life, so when I went to New York, I couldn't wait to try this so typical American dish. I sear..."
11,16776778,S'MAC,American,5.0,America's most favourite dish is served with amazing flavours. The have the just right amount of mac and cheese. Must try one of these outle...
12,16776778,S'MAC,American,4.5,My friend and I ate here for dinner on a Saturday night and it was not crowded. We split the regular mac n cheese and the buffalo mac n chee...
13,16776778,S'MAC,American,4.5,Nice  place . Good for  friends and family.   Ambiance and music is great.   Best cafe in this area. I liked their  red sauce pasta. ...
14,16776778,S'MAC,American,4.0,"Really excellent and varied food, especially considering they only serve mac 'n cheese. You really have to try S'mac at least once just to s..."
15,16761868,Cafeteria,American,4.0,"I really liked that they have an all day breakfast. The staff is super nice (the waiters are, the lady at the entrance not really...). I lov..."
16,16761868,Cafeteria,American,4.0,"Cafeteria gets a lot of things right- great, innovative food, a happy, upbeat, modern ambience (including great music), and very nice and fl..."
17,16761868,Cafeteria,American,4.0,"Brunch is especially good if you can get a seat. Show up before noon! On a cool day, the tomato basil soup is probably the best that I’ve ..."
18,16761868,Cafeteria,American,4.5,"Part children play ground, part mini market, part hippy cafe and part neighborhood museum this place has amazing food and coffee. so fucking..."
19,16761868,Cafeteria,American,3.0,Wonderful brunch! We had to send back the french toast because it was cold but they remade it and brought it right back out! Everything was ...
20,16785398,Shake Shack,American,5.0,"You are going to queue.  Do not let that deter you.  It is worth the wait.  Then, you will have trouble finding a seat.  Don't let that ..."
21,16785398,Shake Shack,American,4.5,"One of the best burger experience I have ever had. Queuing here at the outside of the shop at cold wintry New york night. But, it was all wo..."
22,16785398,Shake Shack,American,5.0,"Excelente hamburgueria. Espaço agradável, menu reduzido mas suficiente e não engana, servem na perfeição. Difícil arra jar mesa para s..."
23,16785398,Shake Shack,American,4.0,The Double Stack is the best!  The line on this outlet is always long since its near the touristy spots and theater row.  Ambiance is fast...
24,16785398,Shake Shack,American,4.0,"I remember trying Shake Shack five years ago on a trip, but I couldn't remember if it lived up to expectations or not. Time to renew my memo..."
25,16767139,Gramercy Tavern,American,4.0,I have to say that this place really lived up to the hype I read about online when I searched for places to eat in the city. I noticed that ...
26,16767139,Gramercy Tavern,American,5.0,"It has been quite some time since my first visit to Gramercy Tavern, but I still regard it as one of the most memorable, standout dining exp..."
27,16767139,Gramercy Tavern,American,5.0,I have to be honest I was fooled on this one. My friends invited me out knowing I didn't know much about NYC food and they told me to meet t...
28,16767139,Gramercy Tavern,American,5.0,"It was a great dinner when enjoying at Gramercy restaurant, we were quite attentive by the restaurant staff, they helped me find my favorite..."
29,16767139,Gramercy Tavern,American,3.0,I had read so many reviews on this place that I decided to try it. Wow is all I can say! Food was exactly as described but to top it off the...
30,16767634,Hard Rock Cafe,American,4.0,✅The place is heart of the Times Square ✅The ambiance and decoration are really so magnificent and nice ✅The place is so cool ✅The s...
31,16767634,Hard Rock Cafe,American,2.5,"The service was great but the food was very bad,ive been to many Hard Rock Cafes and they are always good but someone this one was surprisin..."
32,16767634,Hard Rock Cafe,American,4.0,Everytime we been there is packed and we been here quite a few times… this location rocks…  I would recommend booking a table in advanc...
33,16767634,Hard Rock Cafe,American,4.0,"Hard Rock será sempre o Hard Rock em qualquer parte do Mundo. Centralmente localizado na cidade de NY, sempre cheio com fila para se poder ..."
34,16767634,Hard Rock Cafe,American,5.0,"HRCs around the world are the poster boys of "" We Are All One"" school of thought. I don't remember any HRC discriminating their clientele ba..."
35,16775039,Peter Luger Steak House,American,4.5,Lezzet ve et konusunda sözüm yok ama tek kişilil steak almak mümkün değil en az iki kişilik. O da 110 dolar civarında. Yanında biş...
36,16775039,Peter Luger Steak House,American,3.5,"Meat ninja!  Famous for over 125 years for their dry aged steaks , so we can study and find the water.  We ordered the steak for 2 with thei..."
37,16775039,Peter Luger Steak House,American,4.5,Very buisy restaurant. We had to wait at least half an hour to get a table. Buzzy atmosphere. The staff are welcoming and accommodating. We ...
38,16775039,Peter Luger Steak House,American,5.0,It’s Luger. Steak is always perfect. As Nick Solares would say Luger is THE quintessential NYC Steakhouse. Can’t be equaled. Our server ...
39,16775039,Peter Luger Steak House,American,3.5,"Last night again we were greeted with the usual loud buzzy atmosphere, always loads of people waiting for their table in the bar. It is all ..."
40,16782050,Five Napkin Burger,American,4.5,"We came in here for quick bite,to just sample this burger and to see what all the crazy! And all I can say is epic. Remove came in and was s..."
41,16782050,Five Napkin Burger,American,5.0,"One of the best burger place in Hell’s Kitchen! I tried original 5 napkin burger, chili cheese fries, tempura shrimp and baja burrito in d..."
